No;edad;sexo;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;FDMQTOTAL
75.0;19.0;2.0;4.0;2.0;3.0;2.0;2.0;4.0;3.0;1.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;2.0;2.0;3.0;3.0;2.0;2.0;4.0;3.0;3.0;3.0;3.0;2.0;3.0;2.0;3.0;87.0
76.0;19.0;2.0;2.0;3.0;2.0;4.0;1.0;3.0;2.0;1.0;4.0;1.0;2.0;4.0;4.0;3.0;3.0;4.0;4.0;3.0;4.0;3.0;4.0;4.0;4.0;2.0;2.0;3.0;1.0;2.0;4.0;4.0;4.0;91.0
78.0;18.0;2.0;2.0;2.0;4.0;2.0;1.0;1.0;3.0;2.0;4.0;2.0;3.0;2.0;3.0;3.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;2.0;3.0;3.0;2.0;2.0;1.0;2.0;1.0;3.0;64.0
79.0;19.0;1.0;2.0;3.0;4.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;3.0;2.0;4.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;4.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;74.0
80.0;18.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;2.0;3.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;4.0;3.0;2.0;2.0;1.0;4.0;1.0;3.0;59.0
81.0;18.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;2.0;2.0;3.0;1.0;3.0;1.0;1.0;3.0;1.0;3.0;2.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;4.0;65.0
82.0;18.0;2.0;2.0;4.0;3.0;1.0;1.0;2.0;3.0;1.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;2.0;1.0;2.0;2.0;3.0;2.0;3.0;1.0;2.0;3.0;2.0;72.0
83.0;24.0;2.0;2.0;2.0;4.0;2.0;1.0;2.0;3.0;1.0;3.0;2.0;3.0;2.0;2.0;1.0;2.0;1.0;3.0;1.0;4.0;1.0;2.0;1.0;2.0;4.0;4.0;2.0;4.0;2.0;1.0;1.0;3.0;68.0
84.0;19.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;3.0;2.0;3.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;1.0;2.0;4.0;1.0;2.0;1.0;1.0;3.0;2.0;3.0;66.0
85.0;40.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;4.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;2.0;2.0;2.0;4.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;53.0
86.0;19.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;1.0;1.0;2.0;3.0;3.0;2.0;3.0;1.0;1.0;2.0;2.0;66.0
87.0;18.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;1.0;2.0;3.0;2.0;3.0;65.0
88.0;37.0;2.0;2.0;3.0;4.0;2.0;1.0;2.0;4.0;2.0;2.0;3.0;3.0;1.0;1.0;4.0;2.0;1.0;2.0;2.0;4.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;69.0
89.0;20.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;3.0;1.0;3.0;2.0;3.0;1.0;2.0;4.0;1.0;1.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;4.0;3.0;1.0;3.0;2.0;3.0;3.0;4.0;68.0
90.0;22.0;1.0;3.0;2.0;3.0;2.0;3.0;2.0;4.0;1.0;3.0;2.0;2.0;4.0;4.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;3.0;1.0;4.0;1.0;4.0;4.0;3.0;3.0;1.0;4.0;78.0
91.0;20.0;1.0;2.0;3.0;4.0;1.0;1.0;2.0;3.0;1.0;3.0;2.0;3.0;2.0;2.0;4.0;2.0;1.0;1.0;3.0;4.0;1.0;1.0;2.0;2.0;4.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;66.0
92.0;23.0;1.0;2.0;1.0;4.0;2.0;1.0;2.0;3.0;1.0;2.0;1.0;4.0;2.0;2.0;4.0;1.0;1.0;2.0;2.0;4.0;1.0;2.0;1.0;1.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;64.0
93.0;32.0;1.0;2.0;2.0;3.0;1.0;1.0;1.0;3.0;3.0;3.0;3.0;2.0;3.0;3.0;4.0;1.0;4.0;2.0;3.0;3.0;2.0;3.0;1.0;2.0;4.0;4.0;4.0;4.0;1.0;3.0;2.0;4.0;81.0
94.0;25.0;1.0;2.0;3.0;2.0;1.0;3.0;2.0;1.0;2.0;2.0;1.0;1.0;3.0;2.0;4.0;1.0;3.0;2.0;1.0;3.0;2.0;3.0;3.0;4.0;2.0;1.0;2.0;3.0;3.0;2.0;2.0;3.0;69.0
95.0;21.0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0;1.0;2.0;1.0;4.0;2.0;2.0;4.0;1.0;4.0;2.0;2.0;4.0;1.0;2.0;2.0;1.0;4.0;4.0;1.0;2.0;2.0;3.0;1.0;3.0;72.0
96.0;37.0;1.0;2.0;3.0;4.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;72.0
97.0;24.0;1.0;3.0;4.0;2.0;3.0;1.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;1.0;3.0;2.0;4.0;3.0;1.0;3.0;2.0;3.0;1.0;3.0;3.0;4.0;3.0;3.0;1.0;3.0;3.0;3.0;81.0
98.0;19.0;1.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;74.0
99.0;19.0;1.0;2.0;1.0;4.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;1.0;2.0;3.0;4.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;62.0
100.0;19.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;1.0;3.0;1.0;2.0;3.0;3.0;4.0;1.0;1.0;3.0;3.0;1.0;2.0;1.0;3.0;2.0;3.0;64.0
101.0;29.0;2.0;3.0;3.0;3.0;2.0;1.0;4.0;3.0;1.0;3.0;3.0;2.0;3.0;2.0;4.0;1.0;2.0;3.0;1.0;3.0;2.0;4.0;1.0;4.0;4.0;4.0;2.0;3.0;3.0;3.0;3.0;4.0;84.0
102.0;37.0;1.0;3.0;2.0;3.0;3.0;2.0;1.0;3.0;1.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;3.0;1.0;2.0;2.0;4.0;2.0;3.0;2.0;3.0;3.0;75.0
103.0;27.0;1.0;2.0;1.0;1.0;2.0;0.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;0.0;1.0;1.0;2.0;4.0;4.0;2.0;0.0;1.0;2.0;4.0;4.0;4.0;1.0;1.0;1.0;2.0;2.0;55.0
104.0;25.0;2.0;3.0;1.0;3.0;3.0;1.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;0.0;2.0;3.0;0.0;3.0;2.0;4.0;4.0;2.0;4.0;3.0;2.0;4.0;2.0;3.0;85.0
105.0;22.0;1.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;3.0;3.0;73.0
106.0;22.0;1.0;2.0;2.0;4.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;58.0
107.0;26.0;2.0;1.0;2.0;3.0;2.0;2.0;1.0;3.0;2.0;1.0;2.0;3.0;2.0;1.0;4.0;1.0;1.0;1.0;2.0;4.0;1.0;2.0;2.0;1.0;3.0;2.0;3.0;1.0;4.0;2.0;1.0;2.0;62.0
108.0;58.0;1.0;3.0;1.0;3.0;1.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;4.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;68.0
109.0;38.0;1.0;2.0;1.0;4.0;1.0;2.0;2.0;4.0;1.0;1.0;2.0;4.0;2.0;2.0;4.0;2.0;1.0;2.0;1.0;4.0;2.0;2.0;2.0;1.0;4.0;1.0;4.0;2.0;2.0;2.0;2.0;2.0;68.0
110.0;24.0;2.0;3.0;2.0;4.0;2.0;2.0;2.0;4.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0;2.0;3.0;1.0;3.0;2.0;4.0;4.0;3.0;3.0;3.0;2.0;4.0;3.0;4.0;83.0
111.0;22.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;1.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;64.0
112.0;24.0;2.0;2.0;2.0;3.0;1.0;2.0;1.0;2.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;1.0;2.0;4.0;2.0;2.0;1.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;69.0
113.0;25.0;1.0;1.0;2.0;4.0;4.0;2.0;1.0;4.0;1.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;1.0;1.0;1.0;4.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;63.0
114.0;31.0;1.0;2.0;2.0;4.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;3.0;2.0;1.0;4.0;1.0;1.0;1.0;4.0;4.0;1.0;1.0;1.0;1.0;3.0;2.0;2.0;1.0;1.0;3.0;1.0;1.0;58.0
115.0;22.0;1.0;2.0;2.0;4.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;3.0;1.0;2.0;3.0;1.0;2.0;2.0;1.0;4.0;1.0;2.0;2.0;1.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;62.0
116.0;21.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;2.0;2.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0
117.0;26.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;3.0;1.0;2.0;2.0;3.0;3.0;1.0;3.0;2.0;4.0;2.0;2.0;4.0;2.0;3.0;2.0;1.0;4.0;3.0;2.0;2.0;1.0;2.0;2.0;3.0;68.0
118.0;23.0;2.0;2.0;1.0;4.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;4.0;3.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;3.0;2.0;1.0;2.0;4.0;2.0;1.0;2.0;2.0;2.0;2.0;4.0;65.0
119.0;22.0;1.0;2.0;2.0;3.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;4.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;2.0;3.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;53.0
120.0;26.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;4.0;2.0;2.0;4.0;2.0;4.0;2.0;1.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;1.0;4.0;1.0;3.0;73.0
121.0;34.0;2.0;2.0;1.0;3.0;2.0;1.0;2.0;3.0;1.0;2.0;2.0;4.0;2.0;2.0;3.0;1.0;3.0;1.0;1.0;3.0;2.0;2.0;1.0;1.0;4.0;2.0;4.0;1.0;1.0;2.0;2.0;2.0;63.0
122.0;26.0;2.0;2.0;3.0;4.0;2.0;2.0;3.0;4.0;1.0;3.0;1.0;4.0;3.0;2.0;3.0;1.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0;4.0;3.0;2.0;2.0;2.0;2.0;4.0;3.0;77.0
123.0;23.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;4.0;1.0;1.0;4.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;54.0
124.0;28.0;2.0;3.0;2.0;4.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;1.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;1.0;2.0;1.0;3.0;3.0;2.0;2.0;70.0
125.0;25.0;1.0;2.0;3.0;4.0;1.0;4.0;2.0;4.0;3.0;2.0;3.0;4.0;1.0;4.0;3.0;4.0;1.0;4.0;1.0;4.0;2.0;3.0;1.0;4.0;1.0;4.0;1.0;3.0;2.0;4.0;1.0;4.0;84.0
126.0;30.0;1.0;2.0;2.0;3.0;1.0;1.0;1.0;3.0;1.0;2.0;2.0;3.0;2.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;1.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;56.0
127.0;28.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;62.0
128.0;32.0;1.0;3.0;2.0;3.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;50.0
129.0;49.0;1.0;2.0;2.0;4.0;2.0;2.0;3.0;2.0;1.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;4.0;2.0;3.0;2.0;2.0;76.0
130.0;30.0;2.0;3.0;1.0;4.0;2.0;1.0;2.0;4.0;1.0;2.0;2.0;3.0;2.0;1.0;4.0;2.0;1.0;2.0;2.0;4.0;2.0;1.0;1.0;2.0;4.0;2.0;3.0;2.0;2.0;2.0;2.0;4.0;70.0
131.0;26.0;2.0;3.0;2.0;4.0;2.0;1.0;2.0;3.0;1.0;3.0;2.0;3.0;3.0;1.0;4.0;2.0;1.0;2.0;2.0;3.0;1.0;1.0;1.0;3.0;4.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;70.0
132.0;28.0;2.0;2.0;2.0;4.0;4.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;4.0;1.0;2.0;3.0;1.0;4.0;2.0;1.0;1.0;1.0;4.0;2.0;2.0;3.0;1.0;1.0;1.0;2.0;63.0
133.0;30.0;1.0;2.0;2.0;3.0;1.0;1.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;1.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;65.0
134.0;27.0;2.0;2.0;2.0;4.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;4.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;54.0
135.0;33.0;1.0;4.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;4.0;2.0;3.0;1.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;55.0
136.0;34.0;1.0;2.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;3.0;2.0;1.0;3.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;48.0
137.0;23.0;1.0;2.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;3.0;1.0;2.0;2.0;1.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;57.0
138.0;27.0;1.0;1.0;1.0;4.0;1.0;1.0;2.0;4.0;2.0;2.0;1.0;4.0;1.0;2.0;4.0;1.0;2.0;1.0;1.0;4.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;56.0
139.0;34.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;74.0
140.0;34.0;1.0;2.0;2.0;3.0;1.0;1.0;1.0;3.0;2.0;3.0;1.0;3.0;2.0;2.0;4.0;1.0;2.0;2.0;1.0;4.0;2.0;2.0;2.0;1.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;67.0
141.0;28.0;1.0;2.0;1.0;3.0;2.0;2.0;1.0;3.0;1.0;2.0;1.0;4.0;2.0;1.0;4.0;1.0;3.0;2.0;1.0;3.0;1.0;2.0;2.0;1.0;4.0;3.0;3.0;1.0;2.0;1.0;1.0;3.0;63.0
142.0;37.0;1.0;3.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;4.0;2.0;3.0;3.0;2.0;3.0;3.0;3.0;78.0
143.0;46.0;1.0;1.0;2.0;3.0;3.0;1.0;1.0;3.0;2.0;2.0;1.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;1.0;3.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;62.0
144.0;25.0;1.0;2.0;3.0;4.0;3.0;3.0;3.0;4.0;2.0;2.0;3.0;3.0;3.0;1.0;4.0;2.0;1.0;3.0;3.0;3.0;1.0;3.0;3.0;2.0;4.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;81.0
145.0;30.0;2.0;3.0;2.0;3.0;3.0;1.0;1.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0;3.0;1.0;2.0;2.0;4.0;4.0;2.0;4.0;1.0;1.0;4.0;4.0;4.0;3.0;2.0;2.0;3.0;3.0;77.0
146.0;24.0;2.0;2.0;1.0;4.0;2.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;1.0;3.0;1.0;2.0;2.0;2.0;4.0;4.0;3.0;2.0;1.0;3.0;2.0;1.0;61.0
147.0;23.0;1.0;1.0;2.0;4.0;1.0;1.0;1.0;3.0;2.0;2.0;2.0;4.0;2.0;2.0;4.0;2.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;57.0
148.0;24.0;1.0;1.0;2.0;4.0;1.0;1.0;1.0;4.0;2.0;2.0;2.0;4.0;1.0;3.0;4.0;1.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;60.0
149.0;35.0;2.0;2.0;2.0;2.0;4.0;1.0;2.0;2.0;2.0;3.0;1.0;4.0;3.0;4.0;2.0;1.0;3.0;1.0;1.0;3.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;58.0
150.0;22.0;1.0;2.0;3.0;3.0;1.0;1.0;2.0;4.0;2.0;4.0;2.0;3.0;3.0;4.0;4.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;82.0
151.0;22.0;1.0;1.0;3.0;2.0;1.0;2.0;1.0;4.0;2.0;3.0;1.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;65.0
152.0;43.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;4.0;1.0;1.0;1.0;2.0;4.0;2.0;1.0;1.0;2.0;1.0;1.0;2.0;47.0
153.0;26.0;1.0;3.0;2.0;4.0;3.0;2.0;2.0;3.0;1.0;4.0;4.0;3.0;3.0;4.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;1.0;2.0;1.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;2.0;84.0
154.0;25.0;1.0;2.0;2.0;4.0;1.0;1.0;2.0;3.0;1.0;2.0;1.0;4.0;3.0;2.0;4.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;1.0;4.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;67.0
155.0;35.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;3.0;1.0;1.0;3.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;47.0
156.0;27.0;1.0;2.0;2.0;4.0;3.0;1.0;4.0;4.0;2.0;4.0;2.0;4.0;4.0;3.0;3.0;2.0;1.0;1.0;2.0;4.0;1.0;1.0;3.0;1.0;4.0;2.0;3.0;3.0;2.0;3.0;3.0;4.0;82.0
157.0;55.0;1.0;2.0;2.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;4.0;2.0;1.0;3.0;1.0;2.0;4.0;1.0;4.0;2.0;1.0;1.0;2.0;4.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;58.0
158.0;19.0;1.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;2.0;3.0;1.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;4.0;3.0;3.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;1.0;2.0;4.0;4.0;87.0
159.0;22.0;2.0;3.0;2.0;4.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;2.0;4.0;3.0;80.0
160.0;23.0;2.0;2.0;3.0;3.0;3.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;3.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;66.0
161.0;29.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;4.0;2.0;4.0;3.0;2.0;3.0;3.0;4.0;2.0;3.0;4.0;2.0;3.0;3.0;3.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;95.0
162.0;23.0;2.0;2.0;2.0;4.0;2.0;2.0;3.0;3.0;2.0;3.0;3.0;4.0;0.0;2.0;4.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;4.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;77.0
163.0;28.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;4.0;1.0;1.0;1.0;1.0;1.0;1.0;45.0
164.0;28.0;2.0;3.0;2.0;3.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;2.0;66.0
165.0;29.0;2.0;2.0;2.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;3.0;1.0;4.0;1.0;4.0;2.0;1.0;4.0;1.0;2.0;2.0;2.0;4.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;61.0
166.0;25.0;1.0;3.0;2.0;4.0;1.0;3.0;3.0;4.0;2.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0;1.0;3.0;3.0;4.0;2.0;3.0;3.0;3.0;4.0;2.0;3.0;3.0;3.0;3.0;3.0;4.0;92.0
167.0;23.0;1.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;3.0;2.0;3.0;2.0;1.0;70.0
168.0;24.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;73.0
169.0;21.0;2.0;3.0;3.0;4.0;3.0;1.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;4.0;2.0;4.0;4.0;3.0;3.0;3.0;3.0;2.0;4.0;3.0;3.0;3.0;3.0;2.0;3.0;2.0;2.0;88.0
170.0;21.0;2.0;3.0;3.0;2.0;1.0;1.0;3.0;4.0;1.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;4.0;1.0;2.0;3.0;2.0;2.0;3.0;2.0;4.0;4.0;3.0;80.0
171.0;26.0;2.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;4.0;2.0;2.0;2.0;70.0
172.0;47.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;4.0;1.0;4.0;1.0;1.0;1.0;1.0;1.0;50.0
173.0;22.0;2.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;3.0;4.0;2.0;2.0;3.0;2.0;2.0;65.0
174.0;23.0;1.0;1.0;1.0;4.0;1.0;1.0;2.0;3.0;1.0;1.0;2.0;3.0;2.0;1.0;3.0;1.0;2.0;1.0;1.0;3.0;2.0;2.0;1.0;2.0;4.0;2.0;3.0;1.0;3.0;1.0;2.0;2.0;59.0
